v2_headline,period_start,price_direction
years roller coaster ride continues,2018-04-09,up
bubble already banks says,2018-04-09,up
thomas lee thinks bitcoin reach,2018-04-09,up
crypto currency news,2018-04-09,up
latest bitcoin scandal happened,2018-04-09,up
another expert brian supports,2018-04-16,up
golden bitcoin indian rupee,2018-04-16,up
bitcoin reaches high,2018-04-23,up
uk regulators acceptance could lead long bull run,2018-04-23,up
bitcoin could become irrelevant,2018-04-23,up
reveals institutional investors favor bitcoin,2018-04-23,up
bitcoin awesome drug dealers,2018-04-23,up
may bring another massive,2018-04-30,up
check places accept,2018-04-30,up
sells worth bitcoin btc price drop,2018-04-30,up
stops naming bch possible lawsuit beckons,2018-04-30,up
bitcoin private ethereum,2018-04-30,up
buy bitcoin cash analysts say,2018-04-30,up
list ways actually short,2018-05-07,down
could bitcoin really see,2018-05-07,down
analysts defend market stable,2018-05-07,down
bitcoin tim renowned safer fiat,2018-05-14,down
bitcoin shows growth consensus,2018-05-14,down
bitcoin cash biggest loser,2018-05-14,down
alibaba jack calls bitcoin bubble,2018-05-14,down
mining cost energy,2018-05-14,down
bitcoin cash,2018-05-21,down
,2018-05-21,down
trend makers bashing continues,2018-05-21,down
,2018-05-21,down
regulators step launch criminal probe,2018-05-21,down
bitcoin price manipulation,2018-05-21,down
bitcoin price watch declines past holds new support,2018-05-21,down
hacker sold users data,2018-05-28,up
hacker sold users data,2018-05-28,up
bitcoin reliable savings study shows,2018-05-28,up
bitcoin price take decades stabilize,2018-05-28,up
bitcoin price watch erases new bearish run confirmed,2018-05-28,up
btc price offers buying opportunity,2018-05-28,up
bitcoin cash price watch holds steady around,2018-06-04,down
joost van der burgt shares analysis,2018-06-04,down
says bitcoin bears analyzing bitcoin,2018-06-04,down
tom less says bitcoin bears,2018-06-04,down
bitcoin mining energy usage sensationalist says new report,2018-06-04,down
bitcoin cash price watch breaks drops,2018-06-04,down
btc price,2018-06-04,down
heads upside break,2018-06-04,down
bitcoin price watch holds volatility decline,2018-06-04,down
bitcoin price chart,2018-06-04,down
bitcoin ethereum plummet due coinrail hack,2018-06-11,down
bitcoin cash price falls low,2018-06-11,down
sec says bitcoin ethereum securities,2018-06-11,down
bitcoin price watch shows signs back,2018-06-11,down
bitcoin,2018-06-18,down
bitcoin chart,2018-06-18,down
blockchain real answer,2018-06-25,down
crypto currency news,2018-06-25,down
bitcoin transaction fees,2018-06-25,down
xbt relate,2018-06-25,down
btc rally,2018-06-25,down
bitcoin cash deserve billion dollar,2018-06-25,down
bitcoin dominance big deal,2018-07-02,up
online stores accept,2018-07-02,up
tom lee bitcoin price target changed,2018-07-02,up
bitcoin,2018-07-09,down
bitcoin gold solutions economic instability,2018-07-09,down
psychology behind bitcoin price,2018-07-09,down
public overwhelmingly favor bitcoin etfs sec website,2018-07-16,up
bitcoin makes massive gain hours,2018-07-16,up
spencer predictions,2018-07-23,up
nfl strikes crypto bitcoin drops,2018-07-30,down
decred bitcoin wished btc could,2018-07-30,down
starbucks make paying btc,2018-07-30,down
ice forms company bring bitcoin mainstream,2018-07-30,down
bitcoin etf decision postponed sec sept,2018-08-06,down
wall street analyst thinks,2018-08-06,down
month major highs followed many lows,2018-08-13,down
bitcoin rocket graphs,2018-08-13,down
experts recommend investing bitcoin,2018-08-20,down
abra ceo believes happen soon,2018-09-03,down
trust decentralized ecosystem,2018-09-03,down
bitcoin ethereum ripple crash,2018-09-03,down
experts explain benefits bitcoin,2018-09-03,down
bitcoin drag litecoin every,2018-09-03,down
first block capital launches canadian bitcoin mutual fund,2018-09-10,up
bitcoin stolen btc price remains steady,2018-09-17,up
btc altcoins,2018-09-17,up
bitcoin silver copper coins defocused printed circ,2018-09-24,down
could restaurants create mass,2018-10-01,down
stock market sends bitcoin cliff,2018-10-08,down
skyrockets nearly pulling rest crypto market,2018-10-15,up
cents million bitcoin network,2018-10-15,up
bakkt announces futures launch,2018-10-22,down
bitcoin classified asset morgan stanley,2018-10-29,up
cboe bitcoin futures reach volatility,2018-11-05,down
bitcoin cash hard fork approaches,2018-11-12,down
bitcoin hits lowest level year thus far,2018-11-12,down
bitcoin venture capital funding,2018-11-12,down
banks must embrace,2018-11-12,down
last year things,2018-11-19,down
bitcoin cash hard fork controversy,2018-11-19,down
tom lee sticks price prediction,2018-11-19,down
bitcoin mining norway state crypto market,2018-11-19,down
warren buffett said along,2018-11-19,down
bitcoin crash causes crypto mining closures bankruptcy,2018-11-19,down
came,2018-11-26,up
cryptocurrency makes comeback major slump,2018-11-26,up
bitcoin nearly hours,2018-11-26,up
bitcoin abc listed real bitcoin cash okex,2018-12-10,down
bitcoin price approached,2018-12-17,up
spencer bogart says lower either way good,2018-12-17,up
bitcoin achievements prove entirely crap,2018-12-17,up
bitcoin cash bitcoin sv,2018-12-17,up
bitcoin private premine blamed bug exploit,2018-12-24,down
vitalik calls bitcoin sv dumpster fire,2018-12-24,down
holding steady near corrections across market,2018-12-31,up
russia avoid us sanctions billion bitcoin investment,2019-01-14,up
bitcoin price shows resilience despite etf rejection,2019-01-21,up
malta warns scam,2019-01-21,up
jpmorgan claims bitcoin worth mining anymore,2019-01-21,up
bitcoin,2019-02-11,down
returning investors could push bitcoin past,2019-02-18,up
darknet bitcoin mixer bestmixer secures website tor,2019-02-25,up
steve wozniak says bitcoin value,2019-02-25,up
market leaders deceivers eth,2019-03-11,up
paid bitcoin want,2019-03-18,down
crypto market top ten green xlm,2019-04-01,up
bitcoin price jumps technical breakout,2019-04-01,up
btc extends rally strong,2019-04-01,up
sudden spike leaves puzzled,2019-04-01,up
chinese investors jump bull trend higher price,2019-04-08,down
bitcoin price green eos real winner,2019-04-08,down
crypto market capitalization hits new high,2019-04-15,down
china ban bitcoin mining,2019-04-22,down
happens bitcoin block rewards,2019-04-22,down
market rallying first golden cross since,2019-04-22,down
bitcoin price surges new high,2019-04-22,down
bitcoin generation suspension,2019-04-29,up
analysts indicate btc could drop,2019-04-29,up
bitcoin market cap hits facebook reveals crypto plans,2019-04-29,up
bitcoin price hit demonstrating bullish,2019-05-06,up
bitcoin buffeted btc survives thrives,2019-05-06,up
btc usd price bitcoin run,2019-05-13,up
price jumps mark,2019-05-13,up
bitcoin cash hard fork segwit recovery schnorr signatures,2019-05-13,up
computer keyboard bitcoin buttons buy sell graphite,2019-05-13,up
brian kelly tells cnbc watch rising price,2019-05-20,up
bitcoin price predictions continue outlandish measured,2019-05-20,up
fees bitcoin ready,2019-05-20,up
computer keyboard bitcoin buttons buy sell graphite,2019-05-20,up
bitcoin price heads toward storm breaks,2019-05-20,up
new one year high almost,2019-05-27,up
current bull run incentive buy,2019-05-27,up
common misconceptions bitcoin,2019-05-27,up
nobody spending chainalysis new data reflects rally,2019-05-27,up
bitcoin price falls panic selling,2019-06-03,up
bitcoin miners diversifying china us regulatory concerns,2019-06-03,up
cboe bored,2019-06-10,up
bakkt announces bitcoin futures launch date july,2019-06-10,up
bitcoin price continues bulls near digits mark,2019-06-17,down
btcb really,2019-06-17,down
bitcoin price crosses mark first time since march,2019-06-24,down
bitcoin mining equipment demand exceeding supply,2019-06-24,down
bitcoin corrects falls,2019-07-01,down
bitcoin recovers momentum returns strong technical,2019-07-01,down
bitcoin gain strength mark,2019-07-01,down
bitcoin falls back libra faces huge setback,2019-07-01,down
institutional investments rise bitcoin,2019-07-08,down
short sellers surprised bitcoin surges another,2019-07-08,down
bitcoin breakout signal rallies come later,2019-07-08,down
bitcoin survive quantum,2019-07-08,down
bitcoin price experiences second largest drop,2019-07-15,up
bitcoin recovers quickly technical bounce,2019-07-15,up
bitcoin declared legal commodity chinese court,2019-07-15,up
bitcoin back momentum,2019-07-22,down
bitcoin falls,2019-07-22,down
bitcoin bull dan morehead predicts btc hit end,2019-07-22,down
safeway partners lolli give btc customers,2019-07-22,down
ethereum falls relative bitcoin since,2019-07-22,down
bitcoin price reach joe kernen suggests,2019-07-29,up
bitcoin struggles hold rally,2019-07-29,up
bitcoin falls highs,2019-07-29,up
bitcoin supply circulation,2019-07-29,up
rally different,2019-08-05,down
btc surges amid economic uncertainty,2019-08-05,down
bitcoin mixers going,2019-08-05,down
bitcoin hash rate hits quintillion first time,2019-08-05,down
bitcoin recession proof like experts think,2019-08-12,down
bitcoin continues face hurdles higher altcoins follow,2019-08-19,down
chainlink bitcoin stands position,2019-08-19,down
bitcoin adjusted dominance soars,2019-08-19,down
slim chance bitcoin hitting usd end year,2019-08-26,down
bitcoin two assets ringing recession alarms,2019-08-26,down
bitcoin drops usd sudden swing,2019-08-26,down
bitcoin price soars bulls find support lower levels,2019-09-02,up
ultimate guide getting payments bitcoin,2019-09-02,up
bitcoin transaction worth billion usd moved single wallet,2019-09-02,up
refugees hedge universal appeal,2019-09-09,down
bakkt set introduce bitcoin futures september,2019-09-09,down
bitcoin could fall mark altcoins gain,2019-09-09,down
bitcoin miners turn profitable,2019-09-09,down
good bad crypto,2019-09-09,down
bitcoin versus gold,2019-09-09,down
bitcoin continues face tough hurdle trade war concerns,2019-09-09,down
launch bitcoin cash supported futures contract,2019-09-16,up
bitcoin cash available blockchain phone,2019-09-16,up
cme group launch bitcoin options early,2019-09-23,down
litecoin bitcoin slump despite anticipated debut,2019-09-23,down
bitcoin drops two weeks,2019-09-23,down
two new cases circulating media,2019-09-30,up
sec investigating xrp,2019-09-30,up
bitcoin tanks still significantly ytd,2019-09-30,up
bitcoin sinks low following zuckerberg testimony,2019-10-21,up
bakkt set launch options bitcoin futures december,2019-10-21,up
bitcoin bull analysts sure,2019-10-28,down
altcoins attempt build gains big jump bitcoin,2019-10-28,down
boom largely fueled single trader,2019-11-04,up
bitcoin price gains china scraps crypto mining ban,2019-11-04,up
bakkt launch institutional bitcoin custody services,2019-11-11,down
bottom finally,2019-11-18,down
bitcoin extends low,2019-11-18,down
bakkt launch bitcoin futures december,2019-11-18,down
bitcoin corrects highs,2019-11-25,up
listing despite community hesitations,2019-12-16,down
bitcoin brought chinese ponzi,2019-12-16,down
bitcoin suddenly tumbles mark,2019-12-16,down
key factors watch,2019-12-30,up
bitcoin jumps following iran safe,2019-12-30,up
bitcoin set breakout amid escalating iran tensions,2020-01-06,up
growing hodl culture,2020-01-06,up
bitcoin soars mark geopolitical concerns,2020-01-06,up
libra exec boasts benefits bitcoin ces,2020-01-06,up
regulations drive bitcoin says research,2020-01-06,up
bitcoin sv jumps another,2020-01-06,up
bitcoin shows signs asset global turmoil,2020-01-06,up
bitcoin sv soars real nakamoto please stand,2020-01-13,up
cme bitcoin options eclipses bakkt strong start,2020-01-13,up
bitcoin jumps high cme futures options boost,2020-01-13,up
bitwise withdraws bitcoin etf application sec,2020-01-13,up
bitcoin laundered exchanges,2020-01-13,up
bitcoin hits strong momentum,2020-01-27,up
rise rise bitcoin adoption,2020-01-27,up
bakkt bitcoin options trading volume last week zero,2020-01-27,up
bitcoin futures cme trading generates billion volume since,2020-01-27,up
bitcoin cash gains soars high volume,2020-02-03,up
bitcoin soars crosses mark,2020-02-10,down
cme sees month bitcoin futures trading,2020-02-10,down
bitcoin soars far,2020-02-10,down
fcoin closes reveals million bitcoin shortfall,2020-02-17,up
bitcoin suddenly crashes momentum fades recent rally,2020-02-17,up
coronavirus outbreak tests bitcoin safe status,2020-02-24,down
bitcoin recovers coronavirus pandemic continues hurt markets,2020-03-02,down
bitcoin halving could affect btc price,2020-03-09,down
bitcoin recent attacks resisted counterattacks,2020-03-09,down
bitcoin tanks mark economic damage coronavirus,2020-03-09,down
biggest price drop since crypto markets panic,2020-03-09,down
bitcoin drops despite us fed slashing interest rates,2020-03-16,down
bitcoin buy recent market,2020-03-16,down
stimulus plans put bitcoin back spotlight,2020-03-23,up
coronavirus bitcoin faring far,2020-03-23,up
bitcoin everything need know coindesk,2020-03-23,up
bitcoin soars strong momentum,2020-03-23,up
gold gain fed prints amount,2020-03-23,up
easy money flow,2020-03-23,up
could bitcoin benefit weaker,2020-03-30,up
bitcoin forks ones worth,2020-03-30,up
bitcoin bulls continue hodl optimism returns,2020-03-30,up
bitcoin cash climbs higher halving event,2020-04-06,up
new trillion credit affect,2020-04-06,up
bitcoin halving coming soon,2020-04-13,up
bitcoin slumps crude oil crashes,2020-04-20,up
american crypto owners hold bitcoin fight inflation,2020-04-20,up
bitcoin shut guide btc,2020-04-20,up
mine complete guide beginners,2020-04-20,up
stellar lumens breaking bitcoin,2020-04-27,up
data shows ethereum better money bitcoin,2020-04-27,up
bitcoin soars mark strong momentum,2020-04-27,up
future holds analysts,2020-04-27,up
bitcoin could drag ethereum xrp ahead halving,2020-05-04,down
india enjoys mass first needs fix image,2020-05-04,down
institutions bitcoin,2020-05-04,down
nic last word energy consumption,2020-05-18,down
bitcoin dipped,2020-05-18,down
controls guide btc stakeholders,2020-05-18,down
bitcoin price hits garnering interest small investors,2020-05-25,up
earn interest ranking top four lending services,2020-05-25,up
bitcoin jumps prepares next bull cycle,2020-06-01,up
goldman sachs wrong bitcoin,2020-06-01,up
,2020-06-01,up
vitalik buterin says bitcoin model wrong,2020-06-15,down
stacking nine ways earn bitcoin,2020-06-15,down
prevent bitcoin fraud securing identity,2020-06-15,down
many satoshis,2020-06-15,down
paypal venmo planning introduce bitcoin,2020-06-22,down
ether outperforming bitcoin come,2020-06-22,down
bitcoin dominates crypto brand says fca survey,2020-06-29,up
miners faring far,2020-07-06,up
protect bitcoin wallet,2020-07-13,down
elon bill twitter accounts hacked massive bitcoin scam,2020-07-13,down
bitcoin finally breaks likely heading toward,2020-07-20,up
bitcoin rally slows technicals indicate imminent bearish correction,2020-07-27,up
data suggests rally,2020-08-03,up
recent correction turns support suggesting losses,2020-08-10,up
simetri outperforms crypto funds roi,2020-08-10,up
time pay attention booming crypto market,2020-08-10,up
bitcoin hits ethereum xrp breakout,2020-08-17,down
bitcoin introduction bch,2020-08-17,down
bitcoin local youtube influencer explains works,2020-08-17,down
bitcoin cash companies taking mining tax die arrival,2020-08-24,up
fifth largest bitcoin exchange bithumb raided south korean police,2020-08-31,down
uma new raises security concerns bitcoin defi,2020-09-07,up
bitcoin makes headway implementing smart part upgrade complete,2020-09-07,up
microstrategy invests another million pushing holdings million,2020-09-14,down
permissionless bitcoin back ethereum early disaster,2020-09-21,down
venezuelan government plans regulate bitcoin mining,2020-09-21,down
bitcoin grown future bright,2020-09-28,up
bitcoin plummets cftc fbi file charges bitmex,2020-09-28,up
bitcoin proves risk safe,2020-09-28,up
bitcoin bitfinex hack move,2020-10-05,up
bitcoin pumps million btc purchase,2020-10-05,up
institutions rush,2020-10-12,down
dollar asset fund stone ridge reveals bitcoin purchase,2020-10-12,down
bitcoin takes one step closer scalable private future,2020-10-12,down
bitcoin prepares set new trading high,2020-10-19,up
ethereum xrp follow steps breakout new yearly highs,2020-10-19,up
bitcoin compared says jp morgan,2020-10-26,down
bitcoin bulls correct reaching higher highs,2020-10-26,down
strong fundamentals push bitcoin new yearly high,2020-10-26,down
tether trades discount okex users flee exchange,2020-10-26,down
almost billion bitcoin came hibernation,2020-11-02,up
bitcoin bigger bank shopify,2020-11-02,up
square selling bitcoin faster supply crisis,2020-11-02,up
bitcoin mining cartel finally decentralizing canada,2020-11-02,up
billionaire hedge fund manager stan druckenmiller buys bitcoin,2020-11-09,up
bitcoin sv exploit results widespread theft,2020-11-09,up
employee charged bitcoin tax fraud us,2020-11-09,up
dalio sees governments banning bitcoin become,2020-11-09,up
bitcoin cash holders dump millions ahead hard fork,2020-11-09,up
bitcoin reaches new highs central banks hint stimulus,2020-11-09,up
bitcoin resumes relentless bull breaks,2020-11-09,up
billion bitcoin leaves exchanges holders prepare bull run,2020-11-09,up
price action rhymes gold says citibank,2020-11-09,up
getting wrong druckenmiller bitcoin,2020-11-09,up
bitcoin eyes new yearly buy pressure skyrockets,2020-11-16,up
bitcoin breaks little resistance ahead,2020-11-16,up
bitcoin set break market cap high,2020-11-16,up
bitcoin buying pressure record highs billionaires search dollar hedge,2020-11-16,up
dutch crypto traders forced explain buying bitcoin,2020-11-16,up
richest man reveals btc holdings bitcoin breaches,2020-11-16,up
fund manager cites bitcoin breaches,2020-11-16,up
bitcoin outlook favors bulls stimulus talks resume,2020-11-16,up
chinese bitcoin miners hesitant business,2020-11-23,down
institutions crowding retail bullish bitcoin predictions,2020-11-23,down
ebay shoppers earn free bitcoin christmas,2020-11-23,down
bitcoin headlines sour leading cryptocurrency corrects,2020-11-23,down
treasury department proposal threat,2020-11-23,down
stolen bitcoin transit,2020-11-30,up
bitcoin breaks new highs targeting,2020-11-30,up
bitcoin decimates bears quick recovery,2020-11-30,up
coinbase saved micostrategy executing bitcoin trades,2020-11-30,up
drop resulted liquidations,2020-11-30,up
months halving priced,2020-11-30,up
traders find hefty gains beyond bitcoin xrp,2020-12-07,down
gox users prepare get back billion bitcoin,2020-12-07,down
square hopes go green bitcoin,2020-12-07,down
ray dalio softens stance says place portfolios,2020-12-07,down
massmutual buys bitcoin nydig stake,2020-12-07,down
bitcoin ethereum face bears correction,2020-12-07,down
makes buying bitcoin easy,2020-12-14,up
bitmex introduce bitcoin segwit support,2020-12-14,up
bitcoin worth anything,2020-12-14,up
elon musk mulls dollar bitcoin investment,2020-12-21,up
microstrategy officially bought billion bitcoin,2020-12-21,up
bitcoin ethereum must fight,2020-12-21,up
bitcoin breaks sets new high,2020-12-21,up
greenpro stock price leaps bitcoin buy,2020-12-28,up
lightning network integration lets players earn bitcoin,2020-12-28,up
vaneck takes another shot launching bitcoin etf,2020-12-28,up
bitcoin advisors,2020-12-28,up
learn right,2020-12-28,up
maria author crypto currency news,2020-12-28,up
bitcoin soars past latest record high,2020-12-28,up
bitcoin blasts past first hours blowing,2020-12-28,up
satoshi hidden message explained,2020-12-28,up
ethereum crash liquidates billion leveraged traders,2021-01-04,up
convert bitcoin world currency,2021-01-04,up
corporate investment may pump says bill miller,2021-01-04,up
bitcoin touches holders await higher prices,2021-01-04,up
largest bank blocking bitcoin transactions,2021-01-11,down
bitcoin data shows whales buying dip,2021-01-11,down
bitcoin hashrate breaks new record mining booms,2021-01-11,down
extreme ethereum demand add fuel crypto bull run,2021-01-11,down
gox creditors soon claim billion bitcoin,2021-01-11,down
unmasking deceased programmer donated bitcoin capitol hill rioters,2021-01-11,down
key indicator suggests major bitcoin correction works,2021-01-18,down
institutional investment may behind boom bitcoin whale wallets,2021-01-18,down
long short dollar trades says bank america survey,2021-01-18,down
set bitcoin guide,2021-01-18,down
blackrock could buy bitcoin sec filings say,2021-01-18,down
bitcoin enters new corrective bears aim,2021-01-18,down
institutions may pin tags mean going,2021-01-18,down
microstrategy buys bitcoin holds btc,2021-01-18,down
trading veteran eyes key bitcoin suggests correction complete,2021-01-18,down
reading bitcoin white paper,2021-01-25,down
bitcoin primed consolidate price movement,2021-01-25,down
ethereum risk painful correction losing crucial support,2021-01-25,down
bitcoin everything need know,2021-01-25,down
ray dalio considering bitcoin position,2021-01-25,down
bitcoin overbought territory following elon endorsement,2021-01-25,down
elon bitcoin close reaching,2021-02-01,up
bitcoin overtakes tesla google search sparking btc bulls,2021-02-01,up
bitcoin concludes consolidation ethereum hits new highs,2021-02-01,up
bitcoin market eyes grayscale premium unlock looms,2021-02-01,up
tesla reveals billion bitcoin enables btc payments,2021-02-08,up
watch coindesk tv live,2021-02-08,up
companies like apple follow bitcoin investment,2021-02-08,up
corporate investments pose real threat dollar,2021-02-08,up
apple pay taps adds bitcoin payments,2021-02-08,up
phases bitcoin,2021-02-08,up
morgan stanley investment arm may make bitcoin bet,2021-02-08,up
bitcoin ethereum fundamentals look strong technicals spell trouble,2021-02-15,up
microstrategy plans another million bitcoin injection,2021-02-15,up
bitcoin se recupera de su caida alcanza los,2021-02-15,up
bitcoin makes history high,2021-02-15,up
bitcoin says jp morgan,2021-02-15,up
bitcoin becomes valuable asset world trillion market cap,2021-02-15,up
bitcoin means market,2021-02-15,up
bitcoin worth okcoin delists bch bsv,2021-02-15,up
laser eyes trend storms crypto twitter btc,2021-02-15,up
bitcoin dip causes billion liquidations analysts consider local top,2021-02-22,down
bitcoin must hold crucial support avoid downswing,2021-02-22,down
square adds million bitcoin balance sheet,2021-02-22,down
square become repeat bitcoin buyers,2021-02-22,down
microstrategy apuesta otra vez por bitcoin compra millones,2021-02-22,down
jp morgan backs bitcoin suggests uncorrelated hedge,2021-02-22,down
economist warns ruling world,2021-02-22,down
inner mongolia cracks bitcoin mining,2021-03-01,up
citi says bitcoin could become choice international,2021-03-01,up
nik million bitcoin coming,2021-03-01,up
global macro head recommends bitcoin investment,2021-03-01,up
microstrategy adds another million bitcoin,2021-03-01,up
cboe exchange submits sec application list bitcoin etf,2021-03-01,up
dogecoin available bitcoin atms across america,2021-03-01,up
shark kevin reveals move defi,2021-03-01,up
goldman sachs cashes bitcoin trading desk,2021-03-01,up
shark kevin invests portfolio bitcoin,2021-03-01,up
veteran investor jim rogers regrets buying fears regulation,2021-03-01,up
bitcoin primed new highs retail interest returns,2021-03-01,up
buy bitcoin premium michael saylor,2021-03-01,up
need report bitcoin buys made says irs,2021-03-01,up
proxy bitcoin etfs us killing grayscale premium,2021-03-01,up
gemini launches new service bitcoin etf providers,2021-03-01,up
market bitcoin stuck blockchain data may show,2021-03-01,up
bitcoin podria verse afectado por la recuperacion del empleo en estados unidos,2021-03-01,up
microstrategy buys adds million bitcoin,2021-03-01,up
xrp poised resume uptrend,2021-03-01,up
nic maddening bitcoin energy debate,2021-03-01,up
bitcoin tech company nydig raises million,2021-03-08,up
norwegian industrial giant aker creates bitcoin unit,2021-03-08,up
bitcoin may retrace shortly new highs,2021-03-08,up
energy giant plans use bitcoin,2021-03-08,up
stocks rebound drop dollar,2021-03-08,up
por que el precio de bitcoin caeria por debajo de,2021-03-08,up
parent company buy bitcoin via gbtc,2021-03-08,up
latest job posting suggests bitcoin etf plans,2021-03-08,up
bitcoin lending platform blockfi raises million,2021-03-08,up
sec receives application balanced etf,2021-03-08,up
microstrategy purchases additional bitcoin million,2021-03-08,up
unwinding grayscale bitcoin trade,2021-03-08,up
bitcoin spikes new record high,2021-03-08,up
many sex,2021-03-08,up
bitcoin crosses setting new high,2021-03-08,up
bitcoin prices look volatile news india ban,2021-03-15,down
ethereum may recover strong support,2021-03-15,down
surveys indicate inflow stimulus checks bitcoin,2021-03-15,down
bitcoin stock,2021-03-15,down
visa planning enable cryptocurrency transactions,2021-03-15,down
morgan stanley offer bitcoin richest investors,2021-03-15,down
shrinks amid continued price rally,2021-03-15,down
sec starts decision clock bitcoin etf application,2021-03-15,down
bitcoin important deutsche bank report,2021-03-15,down
sbi holdings japan announces public bitcoin mining pool,2021-03-15,down
markets lift leaving ethereum bears,2021-03-15,down
key takeaways bank bitcoin report,2021-03-15,down
market bitcoin near worries bond yields increase,2021-03-15,down
bitcoin beat gold digital says fed chairman,2021-03-22,down
billion worth bitcoin options expire friday,2021-03-22,down
tesla breathes new life bitcoin bull run,2021-03-22,down
bitcoin rewards program lolli lands investment,2021-03-22,down
buy tesla says elon musk,2021-03-22,down
fidelity investments files bitcoin etf application,2021-03-22,down
microsoft launches ion decentralized identity network bitcoin,2021-03-22,down
ethereum primed rebound despite losses,2021-03-22,down
tesla preparing accept tokens,2021-03-22,down
ion identity layer bitcoin live,2021-03-22,down
goldman sachs registers proxy bitcoin investment product,2021-03-22,down
want buy tesla easy,2021-03-22,down
general motors planning accept bitcoin,2021-03-22,down
uniswap launch layer solution arbitrum,2021-03-22,down
bitcoin targets record highs year,2021-03-29,up
millennials embrace bitcoin despite proposed ban,2021-03-29,up
jp lemon buy tesla bitcoin,2021-03-29,up
jay clayton joins asset management firm,2021-03-29,up
chipotle run bitcoin burrito giveaway,2021-03-29,up
cme group launch bitcoin contracts retail investors,2021-03-29,up
goldman sachs plans suite bitcoin products,2021-03-29,up
market volatility liquidates bitcoin positions,2021-03-29,up
bakkt launches bitcoin payments app,2021-03-29,up
morgan stanley registers funds bitcoin allocation,2021-03-29,up
myths realities,2021-03-29,up
jp morgan says stable bitcoin may attract report,2021-03-29,up
bitcoin outflows exchanges bullish signal think,2021-03-29,up
grayscale reveals plans convert gbtc bitcoin etf,2021-04-05,up
microstrategy buys bitcoin,2021-04-05,up
low volatility affirms bitcoin says jp morgan analyst,2021-04-05,up
godaddy briefly put sale mistake,2021-04-05,up
sacramento kings offer bitcoin salaries staff,2021-04-05,up
,2021-04-05,up
sacramento kings offer bitcoin salary option players,2021-04-05,up
bloomberg foresees bitcoin rallying year,2021-04-05,up
bitcoin become global reserve says bloomberg,2021-04-05,up
bitcoin ethereum could see liquidity crisis,2021-04-05,up
indicator suggests bitcoin overdue big price move,2021-04-05,up
xrp primed higher highs,2021-04-05,up
hsbc reportedly blocking investments key bitcoin advocate,2021-04-05,up
paxful says bitcoin buyers safe data breach,2021-04-05,up
bitcoin says peter thiel,2021-04-05,up
bitcoin takes aim institutional demand skyrockets,2021-04-05,up
wbtc price index live chart coindesk,2021-04-12,up
microstrategy says board directors paid bitcoin,2021-04-12,up
time invest bitcoin partner grayscale,2021-04-12,up
